document_id,page,total_pages,status,reason,raw_chars,clean_chars,chunks_generated
ai_risk_management_framework_NIST_2023,1,48,NONINFORMATIVE_REMOVED,cover_or_heading_only,132,76,0
ai_risk_management_framework_NIST_2023,2,48,INDEXED,,769,376,1
ai_risk_management_framework_NIST_2023,3,48,INDEXED,,1544,1528,2
ai_risk_management_framework_NIST_2023,4,48,NONINFORMATIVE_REMOVED,toc_start,2779,1233,0
ai_risk_management_framework_NIST_2023,5,48,NONINFORMATIVE_REMOVED,list,2109,1602,0
ai_risk_management_framework_NIST_2023,6,48,INDEXED,,3265,3051,3
ai_risk_management_framework_NIST_2023,7,48,INDEXED,,3279,3057,3
ai_risk_management_framework_NIST_2023,8,48,INDEXED,,2014,1829,2
ai_risk_management_framework_NIST_2023,9,48,INDEXED,,2901,2707,3
ai_risk_management_framework_NIST_2023,10,48,INDEXED,,2036,1851,2
ai_risk_management_framework_NIST_2023,11,48,INDEXED,,2918,2728,3
ai_risk_management_framework_NIST_2023,12,48,INDEXED,,3139,2924,3
ai_risk_management_framework_NIST_2023,13,48,INDEXED,,3277,3093,3
ai_risk_management_framework_NIST_2023,14,48,INDEXED,,3203,3012,4
ai_risk_management_framework_NIST_2023,15,48,INDEXED,,1756,1548,2
ai_risk_management_framework_NIST_2023,16,48,INDEXED,,7442,376,1
ai_risk_management_framework_NIST_2023,17,48,INDEXED,,2793,2599,3
ai_risk_management_framework_NIST_2023,18,48,INDEXED,,3165,2943,4
ai_risk_management_framework_NIST_2023,19,48,INDEXED,,2946,2740,3
ai_risk_management_framework_NIST_2023,20,48,INDEXED,,3275,3080,3
ai_risk_management_framework_NIST_2023,21,48,INDEXED,,3073,2885,3
ai_risk_management_framework_NIST_2023,22,48,INDEXED,,2976,2786,3
ai_risk_management_framework_NIST_2023,23,48,INDEXED,,1818,1635,2
ai_risk_management_framework_NIST_2023,24,48,INDEXED,,2124,1843,2
ai_risk_management_framework_NIST_2023,25,48,INDEXED,,1430,1247,2
ai_risk_management_framework_NIST_2023,26,48,INDEXED,,2943,2651,3
ai_risk_management_framework_NIST_2023,27,48,INDEXED,,2827,2395,3
ai_risk_management_framework_NIST_2023,28,48,INDEXED,,3029,2258,2
ai_risk_management_framework_NIST_2023,29,48,INDEXED,,2914,2431,3
ai_risk_management_framework_NIST_2023,30,48,INDEXED,,2961,2718,3
ai_risk_management_framework_NIST_2023,31,48,INDEXED,,2932,2047,2
ai_risk_management_framework_NIST_2023,32,48,INDEXED,,3071,2285,2
ai_risk_management_framework_NIST_2023,33,48,INDEXED,,2991,2694,3
ai_risk_management_framework_NIST_2023,34,48,INDEXED,,2871,2060,2
ai_risk_management_framework_NIST_2023,35,48,INDEXED,,2930,2019,2
